,,,PLANTA BAJA / GROUND FLOOR,,,,,,,,,,,,,
Apartamento / Unit,Tipología / Typo,Etapa / Phase,Habitaciones / Bedrooms,Baños / Baths,Vistas / Views,Característica / Feature,,m2    Interior    sqft,,m2     Terraza / Terrace    sqft,,Total,,Jardin / Garden,Precio / Price,Status
417,T2,2,2,2.5,Mar Y Lago / Ocean and Lake,-,,112.50,"1,211.00",15.42,166.00,127.92,"1,377.00",,,RESERVADO
418,T1,2,1+,2,Mar Y Lago / Ocean and Lake,Family Room,,89.09,959.00,19.51,210.00,108.60,"1,169.00",,"$458,700",BLOQUEADO
419,T1A,2,1 +,2,Mar Y Lago / Ocean and Lake,Family Room,,89.09,959.00,19.42,209.00,108.51,"1,168.00",,"$458,700",BLOQUEADO
420,T1,2,1+,2,Mar Y Lago / Ocean and Lake,Family Room,,89.09,959.00,19.51,210.00,108.60,"1,169.00",,"$487,300",
421,T6A,2,1,1.5,Golf,-,,58.53,630.00,21.92,236.00,80.45,866.00,,"$367,400",BLOQUEADO
422,T5,2,1 +,2,Golf,Lock-Off,,88.63,954.00,20.35,219.00,108.97,"1,173.00",,"$495,000",
423,T8,2,2,2.5,Golf,-,,102.84,"1,107.00",19.32,208.00,122.16,"1,315.00",,"$511,500",
424,T8,2,2,2.5,Golf,-,,102.84,"1,107.00",31.40,338.00,134.24,"1,445.00",,"$558,800",
425,T6,2,1,1.5,Golf,-,,58.81,633.00,21.74,234.00,80.54,867.00,,"$329,000",RESERVADA
426,T6A,2,1,1.5,Golf,-,,58.53,630.00,20.81,224.00,79.34,854.00,,,RESERVADO
427,T5,2,1 +,2,Golf,Lock-Off,,88.63,954.00,21.00,226.00,109.62,"1,180.00",,"$495,000",
428,T7,2,1 +,2,Golf,Family Room,,84.26,907.00,18.67,201.00,102.93,"1,108.00",,"$469,700",
,,,5TO NIVEL / 5TH FLOOR,,,,,,,,,,,,,
Apartamento / Unit,Tipología / Typo,Etapa / Phase,Habitaciones / Bedrooms,Baños / Baths,Vistas / Views,Característica / Feature,,m2    Interior    sqft,,m2     Terraza / Terrace    sqft,,Total,,,Precio / Price,Status
512,T1A,2,1 +,2,Mar Y Lago / Ocean and Lake,Family Room,,89.09,959.00,19.23,207.00,108.32,"1,166.00",,"$491,700",
513,T1,2,1+,2,Mar Y Lago / Ocean and Lake,Family Room,,89.09,959.00,19.23,207.00,108.32,"1,166.00",,"$491,700",BLOQUEADA
514,T1A,2,1 +,2,Mar Y Lago / Ocean and Lake,Family Room,,89.09,959.00,19.23,207.00,108.32,"1,166.00",,"$491,700",BLOQUEADA
